year,min_category,approved,executed,perc_exec,country
2006,Ministry of Education,12642031000,11682757500,0.9241203015559762,Armenia
2006,Ministry of Finance,60248682600,32845904750,0.5451721653080593,Armenia
2006,Ministry of Infrastructure,19683780700,21182831200,1.0761566348887437,Armenia
2007,Ministry of Education,12760779800,12691628000,0.9945809111132848,Armenia
2007,Ministry of Finance,36865832700,47609186510,1.2914176358750742,Armenia
2007,Ministry of Infrastructure,21666361900,25912758700,1.1959903014451172,Armenia
2008,Ministry of Education,20072663100,19022240600,0.9476690016283889,Armenia
2008,Ministry of Finance,66051315400,69547095470,1.0529252150215316,Armenia
2008,Ministry of Infrastructure,26128243200,28333706410,1.0844091657107662,Armenia
2009,Ministry of Education,20528911400,19043723030,0.9276538175326725,Armenia
2009,Ministry of Finance,75655225700,64337659960,0.8504060276698111,Armenia
2009,Ministry of Infrastructure,31508845800,50720689470,1.609728575649699,Armenia
2010,Ministry of Education,21548481500,20140555980,0.9346624252850485,Armenia
2010,Ministry of Finance,92845923700,92562998490,0.9969527449485647,Armenia
2010,Ministry of Infrastructure,34711255500,34830369850,1.0034315771148066,Armenia
2011,Ministry of Education,32231418400,28479873480,0.8836059625598109,Armenia
2011,Ministry of Finance,104079289300,96590846510,0.9280505964215879,Armenia
2011,Ministry of Infrastructure,36617646400,22820560870,0.6232121152931337,Armenia
2012,Ministry of Education,31356269890,30961960970,0.9874248779786862,Armenia
2012,Ministry of Finance,113111293800,105212309820,0.9301662662088656,Armenia
2012,Ministry of Infrastructure,54021490000,30284222450,0.5605958378785924,Armenia
2013,Ministry of Education,34479058500,32899760720,0.9541954493914038,Armenia
2013,Ministry of Finance,129128464700,118853446790,0.9204279402386483,Armenia
2013,Ministry of Infrastructure,64967368800,27396327840,0.42169366477406117,Armenia
2014,Ministry of Education,39018429300,37442485240,0.959610263963137,Armenia
2014,Ministry of Finance,162284124200,165346579520,1.0188709483142406,Armenia
2014,Ministry of Infrastructure,54498459400,39529170430,0.7253263828958806,Armenia
2015,Ministry of Education,41971491900,40806237430,0.9722370014204809,Armenia
2015,Ministry of Finance,198675994200,245186172300,1.2341006435492146,Armenia
2015,Ministry of Infrastructure,36209215800,54748971820,1.5120176068546616,Armenia
2016,Ministry of Education,42727725800,40500578770,0.9478758349923693,Armenia
2016,Ministry of Finance,198906263500,209063305600,1.05106446585077,Armenia
2016,Ministry of Infrastructure,36690640900,50538001290,1.377408517549226,Armenia
2017,Ministry of Education,42190421500,41438186130,0.9821704703756041,Armenia
2017,Ministry of Finance,193597848600,195117929990,1.0078517473256674,Armenia
2017,Ministry of Infrastructure,26852309400,55504362210,2.0670237849262976,Armenia
2018,Ministry of Education,38898265300,38040704610,0.9779537549197599,Armenia
2018,Ministry of Finance,204948691020,197775183470,0.9649985198036714,Armenia
2018,Ministry of Infrastructure,46805408900,48250467470,1.0308737516445454,Armenia
2019,Ministry of Education,141696872900,134875641900,0.95186039846614,Armenia
2019,Ministry of Finance,161239278400,161067720340,0.9989360033007937,Armenia
2019,Ministry of Infrastructure,2729230100,5275900690,1.933109520520091,Armenia
2020,Ministry of Education,179750876100,170900564270,0.9507634565014507,Armenia
2020,Ministry of Finance,171175164850,167644624140,0.9793746907555556,Armenia
2020,Ministry of Infrastructure,8586609300,8410741630,0.9795183798568778,Armenia
2021,Ministry of Education,177648771900,174809458370,0.9840172633920696,Armenia
2021,Ministry of Finance,199031900300,184582848140,0.9274033351527017,Armenia
2021,Ministry of Infrastructure,9123636400,6611669320,0.724674793046334,Armenia
2022,Ministry of Education,226801021600,226543270090,0.9988635346164596,Armenia
2022,Ministry of Finance,217945445300,217986079910,1.000186443951348,Armenia
2022,Ministry of Infrastructure,17143103700,20420752930,1.1911934552434633,Armenia
2006,Ministry of Education,2207487417858,2035356701112,0.9220241459346462,Paraguay
