country_code,Practice,Procedure (number),score_procedure,Bidding Phase (Steps),Contract Management Phase (Steps),Time (days),score_time,Bidding Phase (Time),Contract Management Phase (Time),Index (0-16),score_legal,Transparency,Competition,Integrity of Contract,Integrity of Evaluation,E-proc (0-10),score_eproc,Ease of contracting with the government 5 decimals for calculation,Ease of contracting with the government full decimals for ranking,score_cwg,Contracting with the government (rank),gdp_2015usd,gdppercap_2015usd,pop_total
AFG,NA,17,38.46153846153847,10,7,775,46.856090502499256,357,418,12,75,3,4,3,2,3,30,47.579407241009434,47.579407241009434,47.579407241009434,89,NA,NA,41128771
ALB,NA,16,46.15384615384615,8,8,638,61.273349118652916,248,390,13,81.25,4,3,3,3,8,80,67.169298818124759,67.169298818124759,67.16929881812476,12,14318133324.6211,5158.50912786813,2775634
DZA,NA,19,23.076923076923077,10,9,871,36.75348592475653,391,480,7,43.75,2,1,2,2,1,10,28.395102250419903,28.395102250419903,28.395102250419903,155,179427983375.303,3995.88188543925,44903225
AGO,NA,19,23.076923076923077,10,9,1263,0,348,915,10,62.5,2,2,2,4,1,10,23.89423076923077,23.89423076923077,23.89423076923077,164,81810123785.9154,2298.74831182791,35588987
ATG,NA,14,61.53846153846154,7,7,1032,19.81057616416719,297,735,2,12.5,1,1,0,0,1,10,25.962259425657184,25.962259425657184,25.962259425657184,158,1545724464.81893,16485.441643494,93763
ARG,NA,20,15.384615384615385,12,8,947,28.755590634043553,447,500,8,50,4,2,2,0,3,30,31.035051504664736,31.035051504664736,31.035051504664736,148,597930530213.47,12932.4695302972,46234830
ARM,NA,17,38.46153846153847,9,8,795,44.75138121546952,330,465,12,75,4,3,3,2,7,70,57.053229919251997,57.053229919251997,57.053229919252,49,14212005909.0254,5111.3700275117,2780469
AUS,NA,18,30.76923076923077,10,8,375,88.95027624309391,225,150,5,31.25,1,1,2,1,8,80,57.742376753081174,57.742376753081174,57.742376753081174,46,1579466215838.34,60797.9586475866,25978935
AUT,NA,13,69.23076923076923,7,6,594,65.90370955011832,324,270,11,68.75,3,2,2,4,7,70,68.471119695221887,68.471119695221887,68.47111969522189,8,425390748326.359,47043.3432250759,9042528
AZE,NA,16,46.15384615384615,9,7,753,49.17127071823196,330,423,8,50,1,2,3,2,6,60,51.331279218019532,51.331279218019532,51.33127921801953,72,56692470658.4522,5571.73282660707,10175016
BHS,NA,19,23.076923076923077,11,8,882,35.595895816890184,473,409,0,0,0,0,0,0,0,0,14.668204723453314,14.668204723453314,14.668204723453314,176,12321675107.1918,30054.0389556466,409984
BHR,NA,17,38.46153846153847,10,7,650,60.01052354643508,395,255,6,37.5,2,3,0,1,4,40,43.993015501993384,43.993015501993384,43.99301550199338,106,35915819622.2345,24395.4724708891,1472233
BGD,NA,19,23.076923076923077,12,7,912.5,32.38621415416984,483.7,428.8,9,56.25,2,2,3,2,7,70,45.428284307773225,45.428284307773225,45.428284307773225,100,305522975082.013,1784.7388872872,171186372
