year,country,country_code,economy,region,incomegroup,lendingcategory,fmis,tsa,customs,hrmis,payroll,proc,fmis_year,fmis_scope,fmis_exchange,fmis_gov,tsa_year,tsa_scope,tsa_link,tsa_gov,customs_year,customs_exchange,customs_gov,hrmis_year,hrmis_selfserve,hrmis_exchange,hrmis_gov,payroll_year,payroll_gov,proc_year,proc_capab,proc_ocds,proc_exchange,proc_gov,debt_year,pims_year,pims_capab,pims_exchange,pims_pub,incomegroup_order
2022,Afghanistan,AFG,Afghanistan,South Asia,Low income,IDA,1,1,1,1,0,1,2011,0,0,0,2002,1,1,0,2004,0,0,2012,0,0,0,NA,0,2010,1,1,0,0,2009,NA,0,0,0,1
2022,Albania,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD,1,1,1,1,1,1,2010,1,1,1,1991,1,1,0,1992,1,0,2017,2,0,0,2017,0,2008,2,1,1,0,1998,2019,3,0,0,3
2022,Algeria,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD,1,0,1,1,0,1,2010,0,0,1,1962,0,1,0,1963,0,0,2016,1,NA,0,2023,0,2011,2,1,0,0,2005,NA,0,0,0,2
2022,Andorra,AND,Andorra,Europe & Central Asia,High income,,1,0,0,0,0,0,2005,0,0,0,1993,NA,NA,0,1993,0,0,NA,0,0,0,NA,0,NA,0,NA,0,0,2005,NA,0,0,0,4
2022,Angola,AGO,Angola,Sub-Saharan Africa,Lower middle income,IBRD,1,1,1,1,1,1,2004,0,0,0,1975,NA,NA,0,1975,0,0,2004,0,0,0,2004,0,2019,1,0,0,0,1999,2017,1,0,0,2
2022,Antigua and Barbuda,ATG,Antigua and Barbuda,Latin America & Caribbean,High income,IBRD,1,0,1,1,1,1,2012,0,0,1,1981,NA,0,0,1993,0,0,2011,1,NA,0,2011,0,2019,2,1,0,0,1988,NA,0,0,0,4
2022,Argentina,ARG,Argentina,Latin America & Caribbean,Upper middle income,IBRD,1,1,1,1,1,1,1995,0,0,2,1946,1,NA,2,1997,0,2,2016,0,NA,0,2009,0,2017,2,0,0,2,1993,1995,3,0,0,3
2022,Armenia,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD,0,1,1,1,0,1,2024,0,1,0,1996,1,1,0,1992,1,1,2020,1,0,1,2003,0,2012,3,1,0,2,2011,2023,3,1,0,3
2022,Australia,AUS,Australia,East Asia & Pacific,High income,,1,1,1,1,1,1,1997,0,0,2,1901,1,1,0,1901,0,1,2023,2,NA,1,2023,1,2003,3,1,0,2,1997,NA,0,0,0,4
2022,Austria,AUT,Austria,Europe & Central Asia,High income,,1,1,1,1,1,1,2013,1,0,2,1993,1,NA,0,1945,0,1,2006,2,NA,1,2006,1,2002,2,0,0,0,1993,1971,1,0,1,4
2022,Azerbaijan,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD,1,1,1,1,1,1,2020,1,1,0,2009,1,1,0,1992,1,0,2012,0,0,0,2012,0,2019,3,1,1,2,2010,NA,0,0,0,3
2022,Bahamas,BHS,"Bahamas, The",Latin America & Caribbean,High income,,1,1,1,1,1,1,1995,1,0,1,1914,1,0,0,2018,0,2,2009,0,0,0,2009,0,2020,1,0,0,1,2022,NA,0,0,0,4
2022,Bahrain,BHR,Bahrain,Middle East & North Africa,High income,,1,0,1,1,1,1,1998,0,0,1,1997,NA,NA,0,1970,1,1,2002,2,NA,2,2002,2,2007,2,0,0,0,2006,NA,0,0,0,4
2022,Bangladesh,BGD,Bangladesh,South Asia,Lower middle income,IDA,1,1,1,1,1,1,2016,1,1,2,1957,1,1,2,1972,0,1,2008,2,0,2,2016,2,2011,3,1,1,2,1992,2017,3,1,1,2
2022,Barbados,BRB,Barbados,Latin America & Caribbean,High income,,1,0,1,1,1,1,1999,0,0,0,1966,1,NA,0,1997,0,0,1999,0,NA,0,1999,0,2016,2,0,0,0,1992,NA,0,0,0,4
2022,Belarus,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD,1,0,1,1,1,1,2002,1,0,0,1993,1,1,0,1991,0,0,2003,0,NA,0,2003,0,2012,2,0,0,0,2002,NA,0,0,0,3
2022,Belgium,BEL,Belgium,Europe & Central Asia,High income,,1,1,1,1,1,1,2009,1,0,2,1970,1,1,2,1922,0,2,2008,2,NA,2,2008,2,2005,2,1,0,2,1998,NA,0,0,0,4
2022,Belize,BLZ,Belize,Latin America & Caribbean,Upper middle income,IBRD,1,1,1,1,1,1,1999,0,0,0,1981,0,NA,0,1955,0,0,2005,0,NA,0,2005,0,2017,2,0,0,0,1987,NA,0,0,0,3
2022,Benin,BEN,Benin,Sub-Saharan Africa,Lower middle income,IDA,1,1,1,1,1,1,2020,0,0,2,1990,0,1,0,1993,0,0,2021,1,NA,0,2021,0,2020,1,0,0,0,1995,2021,3,0,1,2
2022,Bhutan,BTN,Bhutan,South Asia,Lower middle income,IDA,1,0,1,1,1,1,2008,1,1,2,1961,0,0,1,2000,0,1,2020,1,0,1,2019,1,2017,3,0,1,2,2006,2019,1,0,0,2
2022,Bolivia,BOL,Bolivia,Latin America & Caribbean,Lower middle income,IBRD,1,1,1,1,1,1,2003,1,0,0,1993,0,0,0,1990,0,0,2003,0,NA,0,2011,0,2021,2,1,0,0,1993,2020,3,0,0,2
2022,Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD,1,1,1,0,1,1,2004,0,0,0,1995,1,1,0,2003,0,0,NA,0,0,0,2004,0,2014,1,0,0,0,2004,2013,3,0,0,3
2022,Botswana,BWA,Botswana,Sub-Saharan Africa,Upper middle income,IBRD,1,1,1,1,1,1,2004,1,0,1,2009,1,1,0,2004,0,0,2014,1,NA,0,2009,0,2016,1,0,0,0,1986,NA,0,0,0,3
2022,Brazil,BRA,Brazil,Latin America & Caribbean,Upper middle income,IBRD,1,1,1,1,1,1,1987,1,0,2,1986,1,1,2,1993,0,2,1990,2,NA,2,1989,2,2001,3,0,0,2,1999,2011,3,0,1,3
2022,Brunei Darussalam,BRN,Brunei Darussalam,East Asia & Pacific,High income,,1,0,1,1,1,0,2002,0,0,1,1984,1,NA,1,1950,0,1,2021,2,NA,1,2021,1,NA,0,NA,0,0,NA,NA,0,0,0,4
2022,Bulgaria,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD,1,1,1,1,1,1,2009,0,0,0,1879,1,0,0,1879,0,0,2006,2,NA,0,2006,0,2004,2,1,0,2,2002,NA,0,0,0,3
2022,Burkina Faso,BFA,Burkina Faso,Sub-Saharan Africa,Low income,IDA,1,0,1,1,1,1,2021,1,1,2,1960,NA,NA,0,1960,0,2,2006,1,0,2,2006,2,2008,1,0,0,2,1997,NA,0,0,0,1
2022,Burundi,BDI,Burundi,Sub-Saharan Africa,Low income,IDA,1,0,1,1,1,1,2004,0,0,0,1997,0,1,0,2009,0,2,2011,1,NA,0,2011,0,2008,1,0,0,0,1987,NA,0,0,0,1
