country,country_code,region,incomegroup,lendingcategory,n_pillar_1,n_pillar_2,n_pillar_3,n_pillar_4,sum_pillar_1,sum_pillar_2,sum_pillar_3,sum_pillar_4,perc_pillar_1,perc_pillar_2,perc_pillar_3,perc_pillar_4,n_concept_account,n_concept_ind,n_concept_infosyst,n_concept_mansyst,n_concept_money,n_concept_personnel,n_concept_trans,sum_concept_account,sum_concept_ind,sum_concept_infosyst,sum_concept_mansyst,sum_concept_money,sum_concept_personnel,sum_concept_trans,perc_concept_account,perc_concept_ind,perc_concept_infosyst,perc_concept_mansyst,perc_concept_money,perc_concept_personnel,perc_concept_trans
Angola,AGO,Sub-Saharan Africa,Lower middle income,IBRD,67,55,26,62,102,58,5,52,0.7611940298507462,0.5272727272727272,0.09615384615384616,0.41935483870967744,53,6,15,4,7,20,14,42,9,10,2,7,26,13,0.39622641509433965,0.75,0.3333333333333333,0.25,0.5,0.65,0.4642857142857143
Argentina,ARG,Latin America & Caribbean,Upper middle income,IBRD,67,55,26,62,45,24,16,54,0.3358208955223881,0.21818181818181817,0.3076923076923077,0.43548387096774194,53,6,15,4,7,20,14,29,10,10,4,2,6,11,0.27358490566037735,0.8333333333333334,0.3333333333333333,0.5,0.14285714285714285,0.15,0.39285714285714285
Bangladesh,BGD,South Asia,Lower middle income,IDA,67,55,26,62,121,74,34,90,0.9029850746268657,0.6727272727272727,0.6538461538461539,0.7258064516129032,53,6,15,4,7,20,14,79,11,21,5,9,24,22,0.7452830188679245,0.9166666666666666,0.7,0.625,0.6428571428571429,0.6,0.7857142857142857
Benin,BEN,Sub-Saharan Africa,Lower middle income,IDA,67,55,26,62,122,84,21,105,0.9104477611940298,0.7636363636363637,0.40384615384615385,0.8467741935483871,53,6,15,4,7,20,14,85,11,19,7,12,32,16,0.8018867924528302,0.9166666666666666,0.6333333333333333,0.875,0.8571428571428571,0.8,0.5714285714285714
Burkina Faso,BFA,Sub-Saharan Africa,Low income,IDA,67,55,26,62,111,68,26,88,0.8283582089552238,0.6181818181818182,0.5,0.7096774193548387,53,6,15,4,7,20,14,75,11,14,6,10,21,19,0.7075471698113207,0.9166666666666666,0.4666666666666667,0.75,0.7142857142857143,0.525,0.6785714285714286
Chile,CHL,Latin America & Caribbean,High income,IBRD,67,55,26,62,108,78,37,119,0.8059701492537313,0.7090909090909091,0.7115384615384616,0.9596774193548387,53,6,15,4,7,20,14,98,9,22,7,7,32,24,0.9245283018867925,0.75,0.7333333333333333,0.875,0.5,0.8,0.8571428571428571
Ecuador,ECU,Latin America & Caribbean,Upper middle income,IBRD,67,55,26,62,118,85,28,71,0.8805970149253731,0.7727272727272727,0.5384615384615384,0.5725806451612904,53,6,15,4,7,20,14,59,9,27,4,8,25,22,0.5566037735849056,0.75,0.9,0.5,0.5714285714285714,0.625,0.7857142857142857
Ethiopia,ETH,Sub-Saharan Africa,Low income,IDA,67,55,26,62,73,40,15,56,0.5447761194029851,0.36363636363636365,0.28846153846153844,0.45161290322580644,53,6,15,4,7,20,14,47,6,11,2,5,12,13,0.44339622641509435,0.5,0.36666666666666664,0.25,0.35714285714285715,0.3,0.4642857142857143
Gabon,GAB,Sub-Saharan Africa,Upper middle income,IBRD,67,55,26,62,80,17,9,41,0.5970149253731343,0.15454545454545454,0.17307692307692307,0.33064516129032256,53,6,15,4,7,20,14,35,6,9,1,3,8,9,0.330188679245283,0.5,0.3,0.125,0.21428571428571427,0.2,0.32142857142857145
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,IBRD,67,55,26,62,104,75,25,73,0.7761194029850746,0.6818181818181818,0.4807692307692308,0.5887096774193549,53,6,15,4,7,20,14,71,4,24,8,8,29,19,0.6698113207547169,0.3333333333333333,0.8,1,0.5714285714285714,0.725,0.6785714285714286
Lebanon,LBN,Middle East & North Africa,Lower middle income,IBRD,67,55,26,62,35,14,4,28,0.26119402985074625,0.12727272727272726,0.07692307692307693,0.22580645161290322,53,6,15,4,7,20,14,24,4,0,2,5,8,5,0.22641509433962265,0.3333333333333333,0,0.25,0.35714285714285715,0.2,0.17857142857142858
