economy,economy_code,pillar_i_overall,pillar_ii_overall,pillar_iii_overall,category_2_2_overall,topic
Bangladesh,BGD,80,56.5,85.75,10,business_entry
Barbados,BRB,81.85,57.33,95.5,10,business_entry
Bosnia and Herzegovina,BIH,87.37,31.08,48.75,15,business_entry
Botswana,BWA,96.25,89,92.25,20,business_entry
Bulgaria,BGR,93.75,84,98.5,20,business_entry
Cambodia,KHM,81.56,40.83,9,10,business_entry
Central African Republic,CAF,72.78,17.5,48.5,5,business_entry
Chad,TCD,77.86,13.33,51.25,10,business_entry
Colombia,COL,96.61,85,84.25,15,business_entry
Costa Rica,CRI,82.5,72,58.75,15,business_entry
Côte dIvoire,CIV,87.62,42.33,61.5,15,business_entry
Croatia,HRV,80.83,75.83,79.5,20,business_entry
El Salvador,SLV,62.23,34.83,40.5,5,business_entry
Estonia,EST,92.5,88.75,91,20,business_entry
"Gambia, The",GMB,78.75,8.33,52.75,5,business_entry
Georgia,GEO,83.75,65.5,91,20,business_entry
Ghana,GHA,71.87,38.83,12.25,15,business_entry
Greece,GRC,96.25,94.5,99,20,business_entry
"Hong Kong SAR, China",HKG,91.87,65.33,99.25,5,business_entry
Hungary,HUN,85,85.17,87.25,20,business_entry
Indonesia,IDN,80.42,84.25,26.5,17.5,business_entry
Iraq,IRQ,78.75,26.67,51.25,0,business_entry
Kyrgyz Republic,KGZ,80.98,50.5,63,20,business_entry
Lesotho,LSO,74.06,64,91.25,15,business_entry
Madagascar,MDG,78.21,18.83,90,0,business_entry
Mauritius,MUS,77.81,53.17,95.75,10,business_entry
Mexico,MEX,90.42,38.67,55.5,5,business_entry
Montenegro,MNE,95,57.17,87,10,business_entry
Morocco,MAR,94.11,47.33,88.75,12.5,business_entry
Nepal,NPL,75,53.33,70.75,15,business_entry
New Zealand,NZL,77.5,77.42,99,20,business_entry
North Macedonia,MKD,95,78.5,99,15,business_entry
Pakistan,PAK,90,87,97.5,17.5,business_entry
Paraguay,PRY,91.19,31.33,39.25,10,business_entry
Peru,PER,77.5,73.17,39,20,business_entry
Philippines,PHL,88.54,42.67,14.25,5,business_entry
Portugal,PRT,95,89,94,20,business_entry
Romania,ROM,91.25,86,61.25,15,business_entry
Rwanda,RWA,87.5,68.67,100,20,business_entry
Samoa,WSM,66.25,56.67,97.25,5,business_entry
Seychelles,SYC,81.04,30.17,52.25,10,business_entry
Sierra Leone,SLE,73.75,21.83,49.75,5,business_entry
Singapore,SGP,87.71,94,99,20,business_entry
Slovak Republic,SVK,90.62,86,80.25,20,business_entry
Tanzania,TZA,87.19,72.5,47.75,15,business_entry
Timor-Leste,TMP,85.77,23.5,40.5,10,business_entry
Togo,TGO,77.86,54.67,99.25,5,business_entry
Vanuatu,VUT,71.25,47,14,5,business_entry
Viet Nam,VNM,72.23,58.17,66,17.5,business_entry
