countrycode,year,countryname,energy_average,energy_indep,energy_account,energy_scope,comms_average,comms_indep,comms_account,comms_scope,rail_average,rail_indep,rail_account,rail_scope,air_average,air_indep,air_account,air_scope,water_average,water_indep,water_account,water_scope
AUS,2023,Australia,5.1339216232299805,4.992673993110657,4.909090876579285,5.5,4.217171728610992,4.333333373069763,5.318181812763214,3,4.383838395277659,4.333333373069763,5.318181812763214,3.5,3.6868687073389688,4.333333373069763,5.2272727489471436,1.5,4.0505050619443255,4.333333373069763,5.318181812763214,2.5
AUT,2023,Austria,4.597249945004781,4.69597065448761,4.220779180526733,4.875,4.859751383463542,4.82600736618042,4.753246784210205,5,4.611000100771586,5.287545800209045,4.545454502105713,4,3.025224765141805,3.1373627185821533,2.6883115768432617,3.25,NA,NA,NA,NA
BEL,2023,Belgium,4.1967291831970215,4.817460298538208,4.7727272510528564,3,5.148684655626615,4.582417607307434,5.863636359572411,5,3.4423354466756186,3.4633700847625732,2.3636362552642822,4.5,3.0673354466756186,3.4633700847625732,2.3636362552642822,3.375,2.3907758394877114,3.230769157409668,1.4415583610534668,2.5
CAN,2023,Canada,4.569652557373047,3.8388278484344482,4.870129823684692,5,3.7984608014424643,3.2817461490631104,2.8636362552642822,5.25,3.9907037019729614,2.6117215156555176,4.110389590263367,5.25,4.101454099019368,2.778388261795044,3.5259740352630615,6,NA,NA,NA,NA
CHL,2023,Chile,2.9489399592081704,2.9377288818359375,3.409090995788574,2.5,3.4201908906300864,2.721611738204956,3.0389609336853027,4.5,2.329725901285807,1.8333334922790527,2.155844211578369,3,3.3173770904541016,3.0787546634674072,5.1233766078948975,1.75,4.413336674372355,4.126373648643494,4.363636374473572,4.75
COL,2023,Colombia,4.461122214794159,4.087912082672119,5.045454561710358,4.25,4.628538131713867,5.02197802066803,4.363636374473572,4.5,NA,NA,NA,NA,3.0367687543233237,2.613553047180176,2.746753215789795,3.75,3.939782420794169,4.1245421171188354,4.694805145263672,3
CRI,2023,Costa Rica,5.041541789968808,5.010989010334015,5.863636359572411,4.25,5.1948606967926025,4.344322323799133,5.240259766578674,6,4.9739010979731875,5.010989010334015,5.785714283585548,4.125,4.667624046405156,5.010989010334015,5.6168831288814545,3.375,5.119672000408173,5.159340679645538,5.8246753215789795,4.375
CZE,2023,Czechia,4.533549785614014,4.285714268684387,4.564935088157654,4.75,4.932123402754466,4.679487109184265,5.116883099079132,5,3.7066822052001953,4.542124509811401,4.077922105789185,2.5,2.793747901916504,3.912087917327881,2.344155788421631,2.125,2.391561190287272,2.8029303550720215,2.246753215789795,2.125
DNK,2023,Denmark,3.39910089969635,4.02197802066803,3.6753246784210205,2.5,3.908036390940348,3.6007325649261475,3.6233766078948975,4.5,3.6920856634775796,3.913919448852539,3.6623375415802,3.5,3.381979068120321,3.655677556991577,3.2402596473693848,3.25,2.63034188747406,4.14102566242218,2,1.75
EST,2023,Estonia,4.3223443031311035,4.9670329093933105,4,4,4.056610067685445,4.351648330688477,4.318181872367859,3.5,3.8905261357625327,4.9670329093933105,3.454545497894287,3.25,3.7747252782185874,4.9670329093933105,3.857142925262451,2.5,4.0165945291519165,5.095238089561462,3.454545497894287,3.5
FIN,2023,Finland,3.7742812633514404,4.14102566242218,4.181818127632141,3,4.771580298741658,4.3601953983306885,3.954545497894287,6,3.0954600969950357,3.877289295196533,1.9090909957885742,3.5,3.5483405590057373,3.761904716491699,3.3831169605255127,3.5,NA,NA,NA,NA
FRA,2023,France,4.506373246510823,4.730158686637878,5.038961052894592,3.75,4.95665446917216,4.941391944885254,5.428571462631226,4.5,4.658896644910176,4.4377288818359375,5.038961052894592,4.5,4.325563311576843,4.4377288818359375,5.038961052894592,3.5,NA,NA,NA,NA
DEU,2023,Germany,5.027528027693431,4.426739931106567,5.201298713684082,5.454545438289642,4.872016867001851,4.492673993110657,5.1233766078948975,5,4.511627237002055,4.349816799163818,5.435064911842346,3.75,NA,NA,NA,NA,NA,NA,NA,NA
GRC,2023,Greece,5.4546287059783936,5.159340679645538,5.454545438289642,5.75,4.88616939385732,4.580586075782776,5.077922105789185,5,4.075734456380208,4.4755799770355225,4.3766233921051025,3.375,3.9316471020380654,4.533577561378479,3.6363637447357178,3.625,2.0308303038279214,2.556776523590088,3.2857143878936768,0.25
