country_code,sector,year,question_code,question_text_2023,response,response_score
AUT,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
AUS,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
BEL,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
CAN,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
CHL,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
COL,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
CRI,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
CZE,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
DNK,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
EST,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
FIN,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,no,0
FRA,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
DEU,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
GRC,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
HUN,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
ISL,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
IRL,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
ISR,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
ITA,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
JPN,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,no,0
KOR,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,no,0
LVA,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
LTU,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
LUX,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
MEX,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
NLD,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
NZL,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
NOR,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,no,0
POL,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,no,0
PRT,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
SVK,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
SVN,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
ESP,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
SWE,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
CHE,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,no,0
TUR,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
GBR,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
BRA,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
BRA2,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
BGR,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
CYP,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
HRV,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
MLT,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
PER,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
ROU,Energy,2018,Q1b.a.21,Is the source of the financial budget stated in the establishing legislation?,yes,6
