countryname,personnel_certified,personnel_over_10_years,personnel_tenure,personnel_workforce,personnel_specialized,personnel_share_specialized,year
Albania,53,10,7,30,19,0.6333333333333333,2019
Angola,33,15,11,104,53,0.5096153846153846,2019
Antigua and Barbuda,25,1,3,4,0,0,2019
Argentina,25,315,18,366,75,0.20491803278688525,2019
Armenia,7.4,14,8,41,25,0.6097560975609756,2019
Aruba,22,3,4,18,100,5.555555555555555,2019
Australia,50,39,10,82,0,0,2019
Austria,34,0.25,6,NA,NA,NA,2019
Azerbaijan,14,3,8.4,22,2,0.09090909090909091,2019
Bahrain,NA,NA,NA,60,NA,NA,2019
Bangladesh,80,16,5,1700,900,0.5294117647058824,2019
Belarus,13.1,62,11,119,NA,NA,2019
Belgium,45,NA,NA,137,24,0.17518248175182483,2019
Belize,17,9,5,24,4,0.16666666666666666,2019
Benin,100,13,10,39,3,0.07692307692307693,2019
Bermuda,NA,3,NA,12,5,0.4166666666666667,2019
Bhutan,50,8,6,15,1,0.06666666666666667,2019
Bolivia,2.5,Se tiene 12 servidoras y servidores pÃºblicos con mÃ¡s de 10 aÃ±os de experiencia en supervisiÃ³n bancaria.,4.35,198,163,0.8232323232323232,2019
Bosnia and Herzegovina,18.5,18,9.48,54,9,0.16666666666666666,2019
Botswana,57,20,9,45,0,0,2019
Brazil,63,345,15,495,46,0.09292929292929293,2019
British Virgin Islands,0,0,8,3,0,0,2019
Bulgaria,100,41,8,97,NA,NA,2019
Burkina Faso,100,13,10,39,3,0.07692307692307693,2019
Burundi,3,5,20,29,NA,NA,2019
Cabo Verde,83,3,3.5,15,5,0.3333333333333333,2019
Canada,NA,30,6.83,146,74,0.5068493150684932,2019
Cayman Islands,50,16,6,20,0,0,2019
Chile,24,74,10,193,85,0.44041450777202074,2019
China,NA,NA,NA,NA,NA,NA,2019
Colombia,72,269,14,434,434,1,2019
Comoros,NA,NA,NA,NA,NA,NA,2019
"Congo, Dem. Rep.",NA,NA,NA,NA,NA,NA,2019
Cook Islands,0,2,8,4,0,0,2019
Costa Rica,100,123,19,123,NA,NA,2019
Croatia,20,52,12.6,92,8,0.08695652173913043,2019
Curaçao,49,3,8,13,NA,NA,2019
Cyprus,88,21,10.3,54,2,0.037037037037037035,2019
Czechia,15,28,10,80,65,0.8125,2019
Côte d’Ivoire,100,13,10,39,3,0.07692307692307693,2019
Denmark,NA,NA,NA,320,NA,NA,2019
Djibouti,8,3,7,9,0,0,2019
Dominican Republic,76,79,13.2,145,42,0.2896551724137931,2019
Ecuador,30,30,4,100,30,0.3,2019
El Salvador,17,60,NA,313,120,0.38338658146964855,2019
Estonia,100,13,9.8,24,21,0.875,2019
Eswatini,NA,NA,NA,NA,NA,NA,2019
Fiji,15,1,4.3,20,0,0,2019
Finland,NA,20,12,46,20,0.43478260869565216,2019
France,10,104,7.5,490,169,0.3448979591836735,2019
"Gambia, The",54.5,9,9,22,NA,NA,2019
Georgia,85,NA,NA,56,36,0.6428571428571429,2019
Germany,43.34,888,11.9,1645,250,0.1519756838905775,2019
Ghana,82,43,8,110,86,0.7818181818181819,2019
Gibraltar,0,2,6,6,0,0,2019
Greece,95,NA,NA,136,NA,NA,2019
Guatemala,63,119,12.69,210,201,0.9571428571428572,2019
Guernsey,40,1,5,10,0,0,2019
Guinea-Bissau,100,13,10,39,3,0.07692307692307693,2019
Guyana,27,5,7,11,0,0,2019
Haiti,33,25,25,30,0,0,2019
Honduras,92,60,10,114,55,0.4824561403508772,2019
"Hong Kong SAR, China",72,97,9,274,204,0.7445255474452555,2019
Hungary,NA,23,4.8,152,48,0.3157894736842105,2019
Iceland,88,5,6.8,32,16,0.5,2019
India,30,128,4,759,146,0.19235836627140976,2019
Indonesia,26.3,375,2.4,1306,103,0.07886676875957122,2019
Ireland,NA,NA,NA,NA,NA,NA,2019
